City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
495,Bengkulu,ID,76.06,overcast clouds,-3.8,102.27,
498,Le Mars,US,84.2,clear sky,42.79,-96.17,
500,Kihei,US,75.2,scattered clouds,20.79,-156.47,
505,Zatoka,UA,82.4,clear sky,46.07,30.47,
506,Peniche,PT,82.99,clear sky,39.36,-9.38,
510,Luz,BR,88.12,few clouds,-19.8,-45.69,
512,Naifaru,MV,82.45,overcast clouds,5.44,73.37,
514,Kano,NG,80.53,overcast clouds,12.0,8.52,
518,Jamame,SO,75.97,scattered clouds,0.07,42.75,
520,Buarcos,PT,89.01,clear sky,40.17,-8.88,
521,Kavaratti,IN,82.31,heavy intensity rain,10.57,72.64,
523,Tevaitoa,PF,78.4,broken clouds,-16.78,-151.5,
525,Marsh Harbour,BS,84.96,overcast clouds,26.54,-77.06,
527,Piracaia,BR,86.0,few clouds,-23.05,-46.36,
532,Kutum,SD,84.31,scattered clouds,14.2,24.67,
535,Nha Trang,VN,86.0,few clouds,12.25,109.18,
537,Sao Joao Da Barra,BR,87.8,clear sky,-21.64,-41.05,
539,Cotonou,BJ,82.4,scattered clouds,6.37,2.42,
540,Tanakpur,IN,80.44,clear sky,29.08,80.12,
543,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,
544,Winneba,GH,82.4,few clouds,5.35,-0.62,
548,Gashua,NG,88.99,scattered clouds,12.87,11.05,
549,Deulgaon Raja,IN,79.48,light rain,20.02,76.03,
553,Qui Nhon,VN,81.57,few clouds,13.77,109.23,
556,Maragogi,BR,78.26,clear sky,-9.01,-35.22,
557,Vaitape,PF,78.39,light rain,-16.52,-151.75,
561,Huilong,CN,81.0,scattered clouds,31.81,121.66,
564,Amahai,ID,77.38,heavy intensity rain,-3.33,128.92,
565,Tuy Hoa,VN,80.31,broken clouds,13.08,109.3,
567,Loiza,PR,89.01,scattered clouds,18.43,-65.88,
577,Conde,BR,84.2,broken clouds,-7.26,-34.91,
581,Kraljevo,RS,84.2,clear sky,43.73,20.69,
584,Itarema,BR,87.15,clear sky,-2.92,-39.92,
590,Lamu,KE,75.61,clear sky,-2.27,40.9,
592,Calafell,ES,82.0,clear sky,41.2,1.57,
594,Santa Cruz,BO,87.8,scattered clouds,-17.8,-63.17,
595,Bam,IR,80.49,clear sky,29.11,58.36,
596,Maturin,VE,89.02,clear sky,9.75,-63.18,
599,Batticaloa,LK,77.86,overcast clouds,7.71,81.69,
600,Teguise,ES,75.2,clear sky,29.06,-13.56,
605,Tra Vinh,VN,78.91,overcast clouds,9.93,106.35,
607,Galle,LK,79.47,overcast clouds,6.04,80.22,
610,Kavieng,PG,82.8,clear sky,-2.57,150.8,
612,Dulovo,BG,77.0,clear sky,43.82,27.15,
615,Vallenar,CL,77.05,broken clouds,-28.57,-70.76,
620,Aguililla,MX,81.03,broken clouds,18.73,-102.73,
621,Salinas,US,77.0,clear sky,36.68,-121.66,
623,Mana,GF,82.15,clear sky,5.66,-53.78,
626,Tabou,CI,76.53,broken clouds,4.42,-7.35,
627,Kathu,TH,84.99,few clouds,7.92,98.33,
629,Harper,LR,76.75,overcast clouds,4.38,-7.72,
634,Sibu,MY,75.2,scattered clouds,2.3,111.82,
635,Omboue,GA,75.76,few clouds,-1.57,9.26,
638,Olinda,BR,84.2,few clouds,-8.01,-34.86,
641,Tagusao,PH,82.08,broken clouds,9.19,117.81,
642,Mumford,GH,75.94,broken clouds,5.26,-0.76,
648,Marovoay,MG,77.0,few clouds,-16.1,46.63,
652,Keti Bandar,PK,83.43,clear sky,24.14,67.45,
653,Jacqueville,CI,80.6,scattered clouds,5.21,-4.41,
654,The Valley,AI,89.6,few clouds,18.22,-63.06,
655,Cumra,TR,78.8,few clouds,37.57,32.77,
661,Paramirim,BR,87.22,clear sky,-13.44,-42.24,
662,Sirpur,IN,79.97,overcast clouds,19.48,79.6,
666,Thap Than,TH,81.09,light rain,15.46,99.89,
672,Fare,PF,77.94,light rain,-16.7,-151.02,
675,Barcelos,PT,90.0,clear sky,41.54,-8.62,
677,Tiznit,MA,86.7,clear sky,29.58,-9.5,
678,Russell,US,84.99,clear sky,32.35,-85.2,
681,Natal,BR,86.0,scattered clouds,-5.79,-35.21,
682,Sri Aman,MY,75.2,moderate rain,1.24,111.46,
686,Tsogni,GA,75.18,scattered clouds,-2.79,10.1,
688,Kaseda,JP,78.8,shower rain,31.42,130.32,
690,Port Blair,IN,82.71,light rain,11.67,92.75,
692,Butterworth,MY,82.4,scattered clouds,5.4,100.36,
693,Tallahassee,US,89.01,few clouds,30.44,-84.28,
701,Ixtapa,MX,82.0,overcast clouds,20.7,-105.2,
