,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,San Patricio,MX,19.22,-104.7,89.6,75,40,9.17,scattered clouds
122,Mar Del Plata,AR,-38.0,-57.56,48.2,66,75,6.93,light rain
123,Nikolskoye,RU,59.7,30.79,61.0,72,75,2.24,broken clouds
124,Gambela,ET,8.25,34.58,72.99,92,77,3.78,heavy intensity rain
125,Bredasdorp,ZA,-34.53,20.04,60.8,63,29,10.29,scattered clouds
126,Toora-Khem,RU,52.47,96.11,44.58,74,60,0.54,broken clouds
127,Kapaa,US,22.08,-159.32,78.8,69,20,13.87,few clouds
128,Torbay,CA,47.67,-52.73,71.01,30,40,8.05,scattered clouds
129,Velyka Pysarivka,UA,50.43,35.48,71.96,32,27,10.29,light rain
130,Progreso,MX,21.28,-89.67,90.0,66,75,4.7,broken clouds
131,Bayamo,CU,20.38,-76.64,87.8,62,40,9.17,scattered clouds
132,El Dovio,CO,4.51,-76.24,77.0,64,75,5.17,broken clouds
133,Zhoucheng,CN,35.91,116.31,71.47,61,0,4.52,light rain
134,Lake City,US,30.19,-82.64,89.01,74,40,6.93,scattered clouds
135,Kyra,RU,49.58,111.98,49.71,86,32,5.19,scattered clouds
136,Clyde River,CA,70.47,-68.59,42.8,52,40,19.46,scattered clouds
137,Gombe,NG,10.29,11.17,80.26,76,65,6.46,broken clouds
138,Moerai,PF,-22.43,-151.33,71.8,84,99,15.68,overcast clouds
139,Namie,JP,37.48,141.0,77.0,89,0,4.43,clear sky
140,Acarau,BR,-2.89,-40.12,88.63,42,0,16.53,clear sky
141,Vanavara,RU,60.34,102.28,43.84,84,42,1.92,scattered clouds
142,Yarmouth,US,41.71,-70.23,77.0,61,1,13.87,clear sky
143,Kure,JP,34.23,132.57,84.99,74,90,29.97,light rain
144,Zarautz,ES,43.28,-2.17,68.0,63,81,1.99,broken clouds
145,Atar,MR,20.52,-13.05,98.08,28,87,15.55,overcast clouds
146,Sovetskiy,RU,61.36,63.58,48.09,77,0,4.54,clear sky
147,Tessalit,ML,20.2,1.01,99.72,18,43,6.17,scattered clouds
148,Winnemucca,US,40.97,-117.74,66.2,25,1,3.2,clear sky
149,Hereford,GB,52.06,-2.71,64.0,75,96,3.58,light rain
150,Ulladulla,AU,-35.35,150.47,46.99,100,0,2.24,clear sky
