City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Flin Flon,CA,2020-09-05 20:30:49,54.77,-101.86,64.4,55,75,5.82
181,Makakilo City,US,2020-09-05 20:30:49,21.35,-158.09,86.0,51,75,5.82
182,Nishihara,JP,2020-09-05 20:30:49,26.18,127.76,80.6,100,75,32.21
183,Atyashevo,RU,2020-09-05 20:30:50,54.56,46.07,52.45,73,100,6.02
184,Zhigansk,RU,2020-09-05 20:30:50,66.77,123.37,46.65,86,99,10.71
185,Caravelas,BR,2020-09-05 20:30:50,-17.71,-39.25,73.31,80,0,6.55
186,Tessalit,ML,2020-09-05 20:26:47,20.2,1.01,92.32,33,61,13.38
187,Omboue,GA,2020-09-05 20:30:51,-1.57,9.26,73.44,81,21,8.23
188,Sola,VU,2020-09-05 20:30:51,-13.88,167.55,78.84,75,21,20.58
189,Vila Franca Do Campo,PT,2020-09-05 20:26:26,37.72,-25.43,68.0,77,40,14.99
190,Grand Gaube,MU,2020-09-05 20:29:45,-20.01,57.66,66.99,80,0,3.0
191,Peleduy,RU,2020-09-05 20:30:51,59.63,112.74,53.4,91,0,4.14
192,Obo,CF,2020-09-05 20:30:52,5.4,26.49,69.24,94,100,2.39
193,Aleksandrovskiy Zavod,RU,2020-09-05 20:30:52,50.92,117.94,47.17,91,0,2.98
194,Flinders,AU,2020-09-05 20:30:52,-34.58,150.86,51.01,86,73,1.01
195,Provideniya,RU,2020-09-05 20:30:52,64.38,-173.3,43.59,70,100,5.12
196,Labuan,MY,2020-09-05 20:30:06,5.28,115.24,77.0,94,40,1.12
197,Buala,SB,2020-09-05 20:30:53,-8.14,159.59,82.08,79,71,9.55
198,Hami,CN,2020-09-05 20:27:16,42.8,93.45,72.61,26,0,11.5
199,Zyryanka,RU,2020-09-05 20:30:53,65.75,150.85,50.67,57,54,5.26
200,Meulaboh,ID,2020-09-05 20:30:54,4.14,96.13,74.34,95,100,7.58
201,Palmares Do Sul,BR,2020-09-05 20:30:54,-30.26,-50.51,56.89,93,100,14.88
202,Kidal,ML,2020-09-05 20:26:04,18.44,1.41,88.57,34,10,10.65
203,Kushiro,JP,2020-09-05 20:30:54,42.98,144.37,65.88,95,55,0.98
204,Lodwar,KE,2020-09-05 20:30:55,3.12,35.6,88.5,36,18,10.31
205,Vadso,NO,2020-09-05 20:30:55,70.07,29.75,55.4,93,94,19.46
206,Nea Stira,GR,2020-09-05 20:30:55,38.18,24.2,73.0,45,0,5.99
207,Korla,CN,2020-09-05 20:30:55,41.76,86.15,75.99,60,0,8.01
208,Lorengau,PG,2020-09-05 20:27:53,-2.02,147.27,79.86,81,100,2.98
209,Balkanabat,TM,2020-09-05 20:30:56,39.51,54.37,79.56,28,0,3.78
210,Matamoros,MX,2020-09-05 20:30:56,25.53,-103.25,87.8,35,75,17.22
211,Hermanus,ZA,2020-09-05 20:26:28,-34.42,19.23,53.01,95,99,7.58
212,Saldanha,ZA,2020-09-05 20:30:56,-33.01,17.94,55.4,82,41,10.29
213,Gravdal,NO,2020-09-05 20:30:57,68.12,13.5,52.72,89,100,10.25
